solar,ganzhi,jieqi,lunarYear,lunarMonth,lunarDay
01/01/19,戊戌,,2018,11,26
01/02/19,己亥,,2018,11,27
01/03/19,庚子,,2018,11,28
01/04/19,辛丑,,2018,11,29
01/05/19,壬寅,小寒,2018,11,30
01/06/19,癸卯,,2018,12,1
01/07/19,甲辰,,2018,12,2
01/08/19,乙巳,,2018,12,3
01/09/19,丙午,,2018,12,4
01/10/19,丁未,,2018,12,5
01/11/19,戊申,,2018,12,6
01/12/19,己酉,,2018,12,7
01/13/19,庚戌,,2018,12,8
01/14/19,辛亥,,2018,12,9
01/15/19,壬子,,2018,12,10
01/16/19,癸丑,,2018,12,11
01/17/19,甲寅,,2018,12,12
01/18/19,乙卯,,2018,12,13
01/19/19,丙辰,,2018,12,14
01/20/19,丁巳,大寒,2018,12,15
01/21/19,戊午,,2018,12,16
01/22/19,己未,,2018,12,17
01/23/19,庚申,,2018,12,18
01/24/19,辛酉,,2018,12,19
01/25/19,壬戌,,2018,12,20
01/26/19,癸亥,,2018,12,21
01/27/19,甲子,,2018,12,22
01/28/19,乙丑,,2018,12,23
01/29/19,丙寅,,2018,12,24
01/30/19,丁卯,,2018,12,25
01/31/19,戊辰,,2018,12,26
02/01/19,己巳,,2018,12,27
02/02/19,庚午,,2018,12,28
02/03/19,辛未,,2018,12,29
02/04/19,壬申,立春,2018,12,30
02/05/19,癸酉,,2019,1,1
02/06/19,甲戌,,2019,1,2
02/07/19,乙亥,,2019,1,3
02/08/19,丙子,,2019,1,4
02/09/19,丁丑,,2019,1,5
02/10/19,戊寅,,2019,1,6
02/11/19,己卯,,2019,1,7
02/12/19,庚辰,,2019,1,8
02/13/19,辛巳,,2019,1,9
02/14/19,壬午,,2019,1,10
02/15/19,癸未,,2019,1,11
02/16/19,甲申,,2019,1,12
02/17/19,乙酉,,2019,1,13
02/18/19,丙戌,,2019,1,14
02/19/19,丁亥,雨水,2019,1,15
02/20/19,戊子,,2019,1,16
02/21/19,己丑,,2019,1,17
02/22/19,庚寅,,2019,1,18
02/23/19,辛卯,,2019,1,19
02/24/19,壬辰,,2019,1,20
02/25/19,癸巳,,2019,1,21
02/26/19,甲午,,2019,1,22
02/27/19,乙未,,2019,1,23
02/28/19,丙申,,2019,1,24
03/01/19,丁酉,,2019,1,25
03/02/19,戊戌,,2019,1,26
03/03/19,己亥,,2019,1,27
03/04/19,庚子,,2019,1,28
03/05/19,辛丑,,2019,1,29
03/06/19,壬寅,惊蛰,2019,1,30
03/07/19,癸卯,,2019,2,1
03/08/19,甲辰,,2019,2,2
03/09/19,乙巳,,2019,2,3
03/10/19,丙午,,2019,2,4
03/11/19,丁未,,2019,2,5
03/12/19,戊申,,2019,2,6
03/13/19,己酉,,2019,2,7
03/14/19,庚戌,,2019,2,8
03/15/19,辛亥,,2019,2,9
03/16/19,壬子,,2019,2,10
03/17/19,癸丑,,2019,2,11
03/18/19,甲寅,,2019,2,12
03/19/19,乙卯,,2019,2,13
03/20/19,丙辰,,2019,2,14
03/21/19,丁巳,春分,2019,2,15
03/22/19,戊午,,2019,2,16
03/23/19,己未,,2019,2,17
03/24/19,庚申,,2019,2,18
03/25/19,辛酉,,2019,2,19
03/26/19,壬戌,,2019,2,20
03/27/19,癸亥,,2019,2,21
03/28/19,甲子,,2019,2,22
03/29/19,乙丑,,2019,2,23
03/30/19,丙寅,,2019,2,24
03/31/19,丁卯,,2019,2,25
04/01/19,戊辰,,2019,2,26
04/02/19,己巳,,2019,2,27
04/03/19,庚午,,2019,2,28
04/04/19,辛未,,2019,2,29
04/05/19,壬申,清明,2019,3,1
04/06/19,癸酉,,2019,3,2
04/07/19,甲戌,,2019,3,3
04/08/19,乙亥,,2019,3,4
04/09/19,丙子,,2019,3,5
04/10/19,丁丑,,2019,3,6
04/11/19,戊寅,,2019,3,7
04/12/19,己卯,,2019,3,8
04/13/19,庚辰,,2019,3,9
04/14/19,辛巳,,2019,3,10
04/15/19,壬午,,2019,3,11
04/16/19,癸未,,2019,3,12
04/17/19,甲申,,2019,3,13
04/18/19,乙酉,,2019,3,14
04/19/19,丙戌,,2019,3,15
04/20/19,丁亥,谷雨,2019,3,16
04/21/19,戊子,,2019,3,17
04/22/19,己丑,,2019,3,18
04/23/19,庚寅,,2019,3,19
04/24/19,辛卯,,2019,3,20
04/25/19,壬辰,,2019,3,21
04/26/19,癸巳,,2019,3,22
04/27/19,甲午,,2019,3,23
04/28/19,乙未,,2019,3,24
04/29/19,丙申,,2019,3,25
04/30/19,丁酉,,2019,3,26
05/01/19,戊戌,,2019,3,27
05/02/19,己亥,,2019,3,28
05/03/19,庚子,,2019,3,29
05/04/19,辛丑,,2019,3,30
05/05/19,壬寅,,2019,4,1
05/06/19,癸卯,立夏,2019,4,2
05/07/19,甲辰,,2019,4,3
05/08/19,乙巳,,2019,4,4
05/09/19,丙午,,2019,4,5
05/10/19,丁未,,2019,4,6
05/11/19,戊申,,2019,4,7
05/12/19,己酉,,2019,4,8
05/13/19,庚戌,,2019,4,9
05/14/19,辛亥,,2019,4,10
05/15/19,壬子,,2019,4,11
05/16/19,癸丑,,2019,4,12
05/17/19,甲寅,,2019,4,13
05/18/19,乙卯,,2019,4,14
05/19/19,丙辰,,2019,4,15
05/20/19,丁巳,,2019,4,16
05/21/19,戊午,小满,2019,4,17
05/22/19,己未,,2019,4,18
05/23/19,庚申,,2019,4,19
05/24/19,辛酉,,2019,4,20
05/25/19,壬戌,,2019,4,21
05/26/19,癸亥,,2019,4,22
05/27/19,甲子,,2019,4,23
05/28/19,乙丑,,2019,4,24
05/29/19,丙寅,,2019,4,25
05/30/19,丁卯,,2019,4,26
05/31/19,戊辰,,2019,4,27
06/01/19,己巳,,2019,4,28
06/02/19,庚午,,2019,4,29
06/03/19,辛未,,2019,5,1
06/04/19,壬申,,2019,5,2
06/05/19,癸酉,,2019,5,3
06/06/19,甲戌,芒种,2019,5,4
06/07/19,乙亥,,2019,5,5
06/08/19,丙子,,2019,5,6
06/09/19,丁丑,,2019,5,7
06/10/19,戊寅,,2019,5,8
06/11/19,己卯,,2019,5,9
06/12/19,庚辰,,2019,5,10
06/13/19,辛巳,,2019,5,11
06/14/19,壬午,,2019,5,12
06/15/19,癸未,,2019,5,13
06/16/19,甲申,,2019,5,14
06/17/19,乙酉,,2019,5,15
06/18/19,丙戌,,2019,5,16
06/19/19,丁亥,,2019,5,17
06/20/19,戊子,,2019,5,18
06/21/19,己丑,夏至,2019,5,19
06/22/19,庚寅,,2019,5,20
06/23/19,辛卯,,2019,5,21
06/24/19,壬辰,,2019,5,22
06/25/19,癸巳,,2019,5,23
06/26/19,甲午,,2019,5,24
06/27/19,乙未,,2019,5,25
06/28/19,丙申,,2019,5,26
06/29/19,丁酉,,2019,5,27
06/30/19,戊戌,,2019,5,28
07/01/19,己亥,,2019,5,29
07/02/19,庚子,,2019,5,30
07/03/19,辛丑,,2019,6,1
07/04/19,壬寅,,2019,6,2
07/05/19,癸卯,,2019,6,3
07/06/19,甲辰,,2019,6,4
07/07/19,乙巳,小暑,2019,6,5
07/08/19,丙午,,2019,6,6
07/09/19,丁未,,2019,6,7
07/10/19,戊申,,2019,6,8
07/11/19,己酉,,2019,6,9
07/12/19,庚戌,,2019,6,10
07/13/19,辛亥,,2019,6,11
07/14/19,壬子,,2019,6,12
07/15/19,癸丑,,2019,6,13
07/16/19,甲寅,,2019,6,14
07/17/19,乙卯,,2019,6,15
07/18/19,丙辰,,2019,6,16
07/19/19,丁巳,,2019,6,17
07/20/19,戊午,,2019,6,18
07/21/19,己未,,2019,6,19
07/22/19,庚申,,2019,6,20
07/23/19,辛酉,大暑,2019,6,21
07/24/19,壬戌,,2019,6,22
07/25/19,癸亥,,2019,6,23
07/26/19,甲子,,2019,6,24
07/27/19,乙丑,,2019,6,25
07/28/19,丙寅,,2019,6,26
07/29/19,丁卯,,2019,6,27
07/30/19,戊辰,,2019,6,28
07/31/19,己巳,,2019,6,29
08/01/19,庚午,,2019,7,1
08/02/19,辛未,,2019,7,2
08/03/19,壬申,,2019,7,3
08/04/19,癸酉,,2019,7,4
08/05/19,甲戌,,2019,7,5
08/06/19,乙亥,,2019,7,6
08/07/19,丙子,,2019,7,7
08/08/19,丁丑,立秋,2019,7,8
08/09/19,戊寅,,2019,7,9
08/10/19,己卯,,2019,7,10
08/11/19,庚辰,,2019,7,11
08/12/19,辛巳,,2019,7,12
08/13/19,壬午,,2019,7,13
08/14/19,癸未,,2019,7,14
08/15/19,甲申,,2019,7,15
08/16/19,乙酉,,2019,7,16
08/17/19,丙戌,,2019,7,17
08/18/19,丁亥,,2019,7,18
08/19/19,戊子,,2019,7,19
08/20/19,己丑,,2019,7,20
08/21/19,庚寅,,2019,7,21
08/22/19,辛卯,,2019,7,22
08/23/19,壬辰,处暑,2019,7,23
08/24/19,癸巳,,2019,7,24
08/25/19,甲午,,2019,7,25
08/26/19,乙未,,2019,7,26
08/27/19,丙申,,2019,7,27
08/28/19,丁酉,,2019,7,28
08/29/19,戊戌,,2019,7,29
08/30/19,己亥,,2019,8,1
08/31/19,庚子,,2019,8,2
09/01/19,辛丑,,2019,8,3
09/02/19,壬寅,,2019,8,4
09/03/19,癸卯,,2019,8,5
09/04/19,甲辰,,2019,8,6
09/05/19,乙巳,,2019,8,7
09/06/19,丙午,,2019,8,8
09/07/19,丁未,,2019,8,9
09/08/19,戊申,,2019,8,10
09/09/19,己酉,,2019,8,11
09/10/19,庚戌,,2019,8,12
09/11/19,辛亥,,2019,8,13
09/12/19,壬子,,2019,8,14
09/13/19,癸丑,,2019,8,15
09/14/19,甲寅,,2019,8,16
09/15/19,乙卯,,2019,8,17
09/16/19,丙辰,,2019,8,18
09/17/19,丁巳,,2019,8,19
09/18/19,戊午,,2019,8,20
09/19/19,己未,,2019,8,21
09/20/19,庚申,,2019,8,22
09/21/19,辛酉,,2019,8,23
09/22/19,壬戌,,2019,8,24
09/23/19,癸亥,,2019,8,25
09/24/19,甲子,,2019,8,26
09/25/19,乙丑,,2019,8,27
09/26/19,丙寅,,2019,8,28
