solar,ganzhi,jieqi,lunarYear,lunarMonth,lunarDay,leapBigSmall,missing,extra,remark,correct
12/02/19,癸酉,,2019,11,7,0,,,,
12/03/19,甲戌,,2019,11,8,0,shangxuan,,,1
12/04/19,乙亥,,2019,11,9,0,,,,
12/05/19,丙子,,2019,11,10,0,,,,
12/06/19,丁丑,,2019,11,11,0,taiyijiuku,,,1
12/07/19,戊寅,大雪,2019,11,12,0,yicongdaxue,,,1
12/08/19,己卯,,2019,11,13,0,,,,
12/09/19,庚辰,,2019,11,14,0,,,,
12/10/19,辛巳,,2019,11,15,0,sitianwang,,,1
12/11/19,壬午,,2019,11,16,0,,,,
12/12/19,癸未,,2019,11,17,0,,,,
12/13/19,甲申,,2019,11,18,0,,,,
12/14/19,乙酉,,2019,11,19,0,,,,
12/15/19,丙戌,,2019,11,20,0,,,,
12/16/19,丁亥,,2019,11,21,0,,,,
12/17/19,戊子,,2019,11,22,0,,,,
12/18/19,己丑,,2019,11,23,0,,,,
12/19/19,庚寅,,2019,11,24,0,,,,
12/20/19,辛卯,,2019,11,25,0,,,,
12/21/19,壬辰,,2019,11,26,0,siliri,,,1
12/22/19,癸巳,冬至,2019,11,27,0,yinyangxiangpan,,,1
12/23/19,甲午,,2019,11,28,0,,,,
12/24/19,乙未,,2019,11,29,0,,,,
12/25/19,丙申,,2019,11,30,0,,,,
12/26/19,丁酉,,2019,12,1,0,,,,
12/27/19,戊戌,,2019,12,2,0,,,,
12/28/19,己亥,,2019,12,3,0,,,,
12/29/19,庚子,,2019,12,4,0,dongzhihougengri,,,1
12/30/19,辛丑,,2019,12,5,0,dongzhihouxinri,xinri,,1
12/31/19,壬寅,,2019,12,6,0,,,,
01/01/20,癸卯,,2019,12,7,0,shangxuan,,,1
01/02/20,甲辰,,2019,12,8,0,,,,
01/03/20,乙巳,,2019,12,9,0,,,,
01/04/20,丙午,,2019,12,10,0,,,,
01/05/20,丁未,,2019,12,11,0,,,,
01/06/20,戊申,小寒,2019,12,12,0,太素三元君朝真,,,1
01/07/20,己酉,,2019,12,13,0,,,,
01/08/20,庚戌,,2019,12,14,0,,,,
01/09/20,辛亥,,2019,12,15,0,sitianwang,,,1
01/10/20,壬子,,2019,12,16,0,,,,
01/11/20,癸丑,,2019,12,17,0,,,,
01/12/20,甲寅,,2019,12,18,0,,,,
01/13/20,乙卯,,2019,12,19,0,,,,
01/14/20,丙辰,,2019,12,20,0,,,,
01/15/20,丁巳,,2019,12,21,0,,,,
01/16/20,戊午,,2019,12,22,0,,,,
01/17/20,己未,,2019,12,23,0,,,,
01/18/20,庚申,,2019,12,24,0,,,,
01/19/20,辛酉,,2019,12,25,0,,,,
01/20/20,壬戌,大寒,2019,12,26,0,dongzhihoudisanxuri,,,1
01/21/20,癸亥,,2019,12,27,0,,,,
01/22/20,甲子,,2019,12,28,0,,,,
01/23/20,乙丑,,2019,12,29,0,,,,
01/24/20,丙寅,,2019,12,30,0,,,,
01/25/20,丁卯,,2020,1,1,0,"milepusashengdan,tianla",,,1
01/26/20,戊辰,,2020,1,2,0,,,,
01/27/20,己巳,,2020,1,3,0,wanshenduhui,,,1
01/28/20,庚午,,2020,1,4,0,,,,
01/29/20,辛未,,2020,1,5,0,wuxuji,,,1
01/30/20,壬申,,2020,1,6,0,"dingguangfodan,liuhaoji",,,1
01/31/20,癸酉,,2020,1,7,0,"shangxuan,shanghui",,,1
02/01/20,甲戌,,2020,1,8,0,"guanyinzhai,wudianyanluo",,,1
02/02/20,乙亥,,2020,1,9,0,yuhuangdadidan,,,1
02/03/20,丙子,,2020,1,10,0,,,,
02/04/20,丁丑,立春,2020,1,11,0,siliri,"四立日，not 四离, leave it as is",,1
02/05/20,戊寅,,2020,1,12,0,"jingzongqizu,",,,1
02/06/20,己卯,,2020,1,13,0,,,,
02/07/20,庚辰,,2020,1,14,0,sanyuanjiang,,,1
02/08/20,辛巳,,2020,1,15,0,"sanyuanjiang,shangyuanshenhui,sitianwang",,,1
02/09/20,壬午,,2020,1,16,0,sanyuanjiang,,,1
02/10/20,癸未,,2020,1,17,0,,,,
02/11/20,甲申,,2020,1,18,0,,,,
02/12/20,乙酉,,2020,1,19,0,,,,
02/13/20,丙戌,,2020,1,20,0,,,,
02/14/20,丁亥,,2020,1,21,0,jingzongjiuzu,,,1
02/15/20,戊子,,2020,1,22,0,,,,
02/16/20,己丑,,2020,1,23,0,sanshishen,,,1
02/17/20,庚寅,,2020,1,24,0,,,,
02/18/20,辛卯,,2020,1,25,0,tiancangkairi,,,1
02/19/20,壬辰,雨水,2020,1,26,0,,,,
02/20/20,癸巳,,2020,1,27,0,,,,
02/21/20,甲午,,2020,1,28,0,,,,
02/22/20,乙未,,2020,1,29,0,,,,
02/23/20,丙申,,2020,2,1,0,,,,
02/24/20,丁酉,,2020,2,2,0,,,,
02/25/20,戊戌,,2020,2,3,0,,,,
02/26/20,己亥,,2020,2,4,0,,,,
02/27/20,庚子,,2020,2,5,0,taisuiri,,,
02/28/20,辛丑,,2020,2,6,0,,,,
02/29/20,壬寅,,2020,2,7,0,,,,
03/01/20,癸卯,,2020,2,8,0,,,,
03/02/20,甲辰,,2020,2,9,0,,,,
03/03/20,乙巳,,2020,2,10,0,,,,
03/04/20,丙午,,2020,2,11,0,,,,
03/05/20,丁未,惊蛰,2020,2,12,0,,,,
03/06/20,戊申,,2020,2,13,0,,,,
03/07/20,己酉,,2020,2,14,0,,,,
03/08/20,庚戌,,2020,2,15,0,sitianwang,,,1
03/09/20,辛亥,,2020,2,16,0,,,,
03/10/20,壬子,,2020,2,17,0,,,,
03/11/20,癸丑,,2020,2,18,0,,,,
03/12/20,甲寅,,2020,2,19,0,,,,
03/13/20,乙卯,,2020,2,20,0,,,,
03/14/20,丙辰,,2020,2,21,0,,,,
03/15/20,丁巳,,2020,2,22,0,,,,
03/16/20,戊午,,2020,2,23,0,,,,
03/17/20,己未,,2020,2,24,0,,,,
03/18/20,庚申,,2020,2,25,0,,,,
03/19/20,辛酉,,2020,2,26,0,,,,
03/20/20,壬戌,春分,2020,2,27,0,,,,
03/21/20,癸亥,,2020,2,28,0,,,,
03/22/20,甲子,,2020,2,29,0,,,,
03/23/20,乙丑,,2020,2,30,0,,,,
03/24/20,丙寅,,2020,3,1,0,,,,
03/25/20,丁卯,,2020,3,2,0,,,,
03/26/20,戊辰,,2020,3,3,0,,,,
03/27/20,己巳,,2020,3,4,0,,,,
03/28/20,庚午,,2020,3,5,0,,,,
03/29/20,辛未,,2020,3,6,0,,,,
03/30/20,壬申,,2020,3,7,0,shangxuan,,,
03/31/20,癸酉,,2020,3,8,0,,,,
04/01/20,甲戌,,2020,3,9,0,,,,
04/02/20,乙亥,,2020,3,10,0,,,,
04/03/20,丙子,,2020,3,11,0,,,,
04/04/20,丁丑,清明,2020,3,12,0,,,,
04/05/20,戊寅,,2020,3,13,0,,,,
04/06/20,己卯,,2020,3,14,0,,,,
04/07/20,庚辰,,2020,3,15,0,sitianwang,,,1
04/08/20,辛巳,,2020,3,16,0,,,,
04/09/20,壬午,,2020,3,17,0,,,,
04/10/20,癸未,,2020,3,18,0,,,,
04/11/20,甲申,,2020,3,19,0,,,,
04/12/20,乙酉,,2020,3,20,0,,,,
04/13/20,丙戌,,2020,3,21,0,,,,
04/14/20,丁亥,,2020,3,22,0,,,,
04/15/20,戊子,,2020,3,23,0,,,,
04/16/20,己丑,,2020,3,24,0,,,,
04/17/20,庚寅,,2020,3,25,0,,,,
04/18/20,辛卯,,2020,3,26,0,,,,
04/19/20,壬辰,谷雨,2020,3,27,0,,,,
04/20/20,癸巳,,2020,3,28,0,,,,
04/21/20,甲午,,2020,3,29,0,,,,
04/22/20,乙未,,2020,3,30,0,,,,
04/23/20,丙申,,2020,4,1,0,,,,
04/24/20,丁酉,,2020,4,2,0,,,,
04/25/20,戊戌,,2020,4,3,0,,,,
04/26/20,己亥,,2020,4,4,0,,,,
04/27/20,庚子,,2020,4,5,0,taisuiri,,,
04/28/20,辛丑,,2020,4,6,0,,,,
04/29/20,壬寅,,2020,4,7,0,shangxuan,,,
04/30/20,癸卯,,2020,4,8,0,善恶童子降,,,1
05/01/20,甲辰,,2020,4,9,0,,,,
05/02/20,乙巳,,2020,4,10,0,,,,
05/03/20,丙午,,2020,4,11,0,,,,
05/04/20,丁未,,2020,4,12,0,,,,
05/05/20,戊申,立夏,2020,4,13,0,siliri,,四立日，not 四离,1
05/06/20,己酉,,2020,4,14,0,,,,
05/07/20,庚戌,,2020,4,15,0,sitianwang,,,1
05/08/20,辛亥,,2020,4,16,0,,,,
05/09/20,壬子,,2020,4,17,0,,,,
05/10/20,癸丑,,2020,4,18,0,,,,
05/11/20,甲寅,,2020,4,19,0,,,,
05/12/20,乙卯,,2020,4,20,0,,,,
05/13/20,丙辰,,2020,4,21,0,,,,
05/14/20,丁巳,,2020,4,22,0,,,,
05/15/20,戊午,,2020,4,23,0,,,,
05/16/20,己未,,2020,4,24,0,,,,
05/17/20,庚申,,2020,4,25,0,,,,
05/18/20,辛酉,,2020,4,26,0,,,,
05/19/20,壬戌,,2020,4,27,0,,,,
05/20/20,癸亥,小满,2020,4,28,0,,,,
05/21/20,甲子,,2020,4,29,0,,,,
05/22/20,乙丑,,2020,4,30,0,,,,
05/23/20,丙寅,,2020,4,1,1,,,,
05/24/20,丁卯,,2020,4,2,1,,,,
05/25/20,戊辰,,2020,4,3,1,,,,
05/26/20,己巳,,2020,4,4,1,,,,
05/27/20,庚午,,2020,4,5,1,,,,
05/28/20,辛未,,2020,4,6,1,,,,
05/29/20,壬申,,2020,4,7,1,"shangxuan,shi-e-da-bai",,shangxuan ok,
05/30/20,癸酉,,2020,4,8,1,"jiudianpingdengwang,善恶童子降",,,1
05/31/20,甲戌,,2020,4,9,1,,,,
06/01/20,乙亥,,2020,4,10,1,,,,
06/02/20,丙子,,2020,4,11,1,,,,
06/03/20,丁丑,,2020,4,12,1,,,,
06/04/20,戊寅,,2020,4,13,1,,,,
06/05/20,己卯,芒种,2020,4,14,1,,,,
06/06/20,庚辰,,2020,4,15,1,sitianwang,,,1
06/07/20,辛巳,,2020,4,16,1,,,,
06/08/20,壬午,,2020,4,17,1,"huibairi,",,,
06/09/20,癸未,,2020,4,18,1,,huibairi,,1
06/10/20,甲申,,2020,4,19,1,,,,
06/11/20,乙酉,,2020,4,20,1,,,,
06/12/20,丙戌,,2020,4,21,1,,,,
06/13/20,丁亥,,2020,4,22,1,,,,
06/14/20,戊子,,2020,4,23,1,,,,
06/15/20,己丑,,2020,4,24,1,,,,
06/16/20,庚寅,,2020,4,25,1,,,,
06/17/20,辛卯,,2020,4,26,1,,,,
06/18/20,壬辰,,2020,4,27,1,,,,
06/19/20,癸巳,,2020,4,28,1,,,,
06/20/20,甲午,,2020,4,29,1,"simingzoushi,yuehui",,,1
06/21/20,乙未,夏至,2020,5,1,0,,,,
06/22/20,丙申,,2020,5,2,0,,,,
06/23/20,丁酉,,2020,5,3,0,guanyinzhai,,,1
06/24/20,戊戌,,2020,5,4,0,,,,
06/25/20,己亥,,2020,5,5,0,,,,
06/26/20,庚子,,2020,5,6,0,taisuiri,,,
06/27/20,辛丑,,2020,5,7,0,shangxuan,,,1
06/28/20,壬寅,,2020,5,8,0,,nanfangwudaodan,,1
06/29/20,癸卯,,2020,5,9,0,,,,
06/30/20,甲辰,,2020,5,10,0,,,,
07/01/20,乙巳,,2020,5,11,0,,,,
07/02/20,丙午,,2020,5,12,0,,,,
07/03/20,丁未,,2020,5,13,0,,,,
07/04/20,戊申,,2020,5,14,0,yezishiweitiandi,,"B column-confilict,
good web is 0515Lunar,paper skcal 0514",1
07/05/20,己酉,,2020,5,15,0,sitianwang,,,
07/06/20,庚戌,小暑,2020,5,16,0,tiandiyuanqizaohua,,"B column-confilict,
good web is 0518Lunar,paper skcal 0516",1
07/07/20,辛亥,,2020,5,17,0,,,,
07/08/20,壬子,,2020,5,18,0,,,,
07/09/20,癸丑,,2020,5,19,0,,,,
07/10/20,甲寅,,2020,5,20,0,,,,
07/11/20,乙卯,,2020,5,21,0,,,,
07/12/20,丙辰,,2020,5,22,0,,,,
07/13/20,丁巳,,2020,5,23,0,,,,
07/14/20,戊午,,2020,5,24,0,,,,
07/15/20,己未,,2020,5,25,0,,,,
07/16/20,庚申,,2020,5,26,0,,,,
07/17/20,辛酉,,2020,5,27,0,,,,
07/18/20,壬戌,,2020,5,28,0,,,,
07/19/20,癸亥,,2020,5,29,0,,,,
07/20/20,甲子,,2020,5,30,0,,,,
07/21/20,乙丑,,2020,6,1,0,,,,
07/22/20,丙寅,大暑,2020,6,2,0,,,,
07/23/20,丁卯,,2020,6,3,0,,,,
07/24/20,戊辰,,2020,6,4,0,,,,
07/25/20,己巳,,2020,6,5,0,,,,
07/26/20,庚午,,2020,6,6,0,zhongfu,,,1
07/27/20,辛未,,2020,6,7,0,shangxuan,,,
07/28/20,壬申,,2020,6,8,0,,,,
07/29/20,癸酉,,2020,6,9,0,,,,
07/30/20,甲戌,,2020,6,10,0,jinlirulaidan,,,1
07/31/20,乙亥,,2020,6,11,0,,,,
08/01/20,丙子,,2020,6,12,0,,,,
08/02/20,丁丑,,2020,6,13,0,,,,
08/03/20,戊寅,,2020,6,14,0,,,,
08/04/20,己卯,,2020,6,15,0,sitianwang,,,1
08/05/20,庚辰,,2020,6,16,0,,,,
08/06/20,辛巳,,2020,6,17,0,xinri,,,1
08/07/20,壬午,立秋,2020,6,18,0,siliri,,四立日，not 四离,1
08/08/20,癸未,,2020,6,19,0,,,,
08/09/20,甲申,,2020,6,20,0,,,,
08/10/20,乙酉,,2020,6,21,0,,,,
08/11/20,丙戌,,2020,6,22,0,,,,
08/12/20,丁亥,,2020,6,23,0,,,,
08/13/20,戊子,,2020,6,24,0,,,,
08/14/20,己丑,,2020,6,25,0,,,,
08/15/20,庚寅,,2020,6,26,0,mofu,,,1
08/16/20,辛卯,,2020,6,27,0,,,,
08/17/20,壬辰,,2020,6,28,0,,,,
08/18/20,癸巳,,2020,6,29,0,,,,
08/19/20,甲午,,2020,7,1,0,,,,
08/20/20,乙未,,2020,7,2,0,jingzongbazu,,,1
08/21/20,丙申,,2020,7,3,0,,,,
08/22/20,丁酉,处暑,2020,7,4,0,,,,
08/23/20,戊戌,,2020,7,5,0,,,,
08/24/20,己亥,,2020,7,6,0,,,,
08/25/20,庚子,,2020,7,7,0,"shangxuan,kuixingdan,taisuiri",,"kuixingdan ,shang xuan ok",
08/26/20,辛丑,,2020,7,8,0,"sitianwang,diguanjiaoji",,,1
08/27/20,壬寅,,2020,7,9,0,,,,
08/28/20,癸卯,,2020,7,10,0,,,,
08/29/20,甲辰,,2020,7,11,0,,,,
08/30/20,乙巳,,2020,7,12,0,,,,
08/31/20,丙午,,2020,7,13,0,,,,
09/01/20,丁未,,2020,7,14,0,,,,
09/02/20,戊申,,2020,7,15,0,,,,
09/03/20,己酉,,2020,7,16,0,,,,
09/04/20,庚戌,,2020,7,17,0,,,,
09/05/20,辛亥,,2020,7,18,0,,,,
09/06/20,壬子,,2020,7,19,0,,,,
09/07/20,癸丑,白露,2020,7,20,0,,,,
09/08/20,甲寅,,2020,7,21,0,,,,
09/09/20,乙卯,,2020,7,22,0,,,,
09/10/20,丙辰,,2020,7,23,0,,,,
09/11/20,丁巳,,2020,7,24,0,,,,
09/12/20,戊午,,2020,7,25,0,,,,
09/13/20,己未,,2020,7,26,0,,,,
09/14/20,庚申,,2020,7,27,0,,,,
09/15/20,辛酉,,2020,7,28,0,,,,
09/16/20,壬戌,,2020,7,29,0,,,,
09/17/20,癸亥,,2020,8,1,0,,,,
09/18/20,甲子,,2020,8,2,0,,,,
09/19/20,乙丑,,2020,8,3,0,,,,
09/20/20,丙寅,,2020,8,4,0,,,,
09/21/20,丁卯,,2020,8,5,0,,,,
09/22/20,戊辰,秋分,2020,8,6,0,jingzongchuzu,,,1
09/23/20,己巳,,2020,8,7,0,shangxuan,,,1
09/24/20,庚午,,2020,8,8,0,,,,
09/25/20,辛未,,2020,8,9,0,,,,
09/26/20,壬申,,2020,8,10,0,,,,
09/27/20,癸酉,,2020,8,11,0,,,,
09/28/20,甲戌,,2020,8,12,0,,,,
09/29/20,乙亥,,2020,8,13,0,,,,
09/30/20,丙子,,2020,8,14,0,,,,
10/01/20,丁丑,,2020,8,15,0,sitianwang,,,1
10/02/20,戊寅,,2020,8,16,0,,,,
10/03/20,己卯,,2020,8,17,0,,,,
10/04/20,庚辰,,2020,8,18,0,,tiancao,,
10/05/20,辛巳,,2020,8,19,0,,,,
10/06/20,壬午,,2020,8,20,0,,,,
10/07/20,癸未,,2020,8,21,0,,,,
10/08/20,甲申,寒露,2020,8,22,0,,,,
10/09/20,乙酉,,2020,8,23,0,,,,
10/10/20,丙戌,,2020,8,24,0,,,,
10/11/20,丁亥,,2020,8,25,0,,,,
10/12/20,戊子,,2020,8,26,0,,,,
10/13/20,己丑,,2020,8,27,0,,,,
10/14/20,庚寅,,2020,8,28,0,,,,
10/15/20,辛卯,,2020,8,29,0,,zhushenkaojiao,,1
10/16/20,壬辰,,2020,8,30,0,zhushenkaojiao,,,1
10/17/20,癸巳,,2020,9,1,0,nandoudan,,,1
10/18/20,甲午,,2020,9,2,0,,,,
10/19/20,乙未,,2020,9,3,0,,,,
10/20/20,丙申,,2020,9,4,0,,,,
10/21/20,丁酉,,2020,9,5,0,,,,
10/22/20,戊戌,,2020,9,6,0,,,,
10/23/20,己亥,霜降,2020,9,7,0,shangxuan,,,1
10/24/20,庚子,,2020,9,8,0,taisuiri,,,
10/25/20,辛丑,,2020,9,9,0,xuantianshangdi,,,1
10/26/20,壬寅,,2020,9,10,0,,,,
10/27/20,癸卯,,2020,9,11,0,,,,
10/28/20,甲辰,,2020,9,12,0,,,,
10/29/20,乙巳,,2020,9,13,0,Shi-e-da-bai,,,
10/30/20,丙午,,2020,9,14,0,,,,
10/31/20,丁未,,2020,9,15,0,sitianwang,,,1
11/01/20,戊申,,2020,9,16,0,,,,
11/02/20,己酉,,2020,9,17,0,,,,
11/03/20,庚戌,,2020,9,18,0,,,,
11/04/20,辛亥,,2020,9,19,0,,,,
11/05/20,壬子,,2020,9,20,0,,,,
11/06/20,癸丑,,2020,9,21,0,,,,
11/07/20,甲寅,立冬,2020,9,22,0,siliri,,四立日，not 四离,1
11/08/20,乙卯,,2020,9,23,0,,,,
11/09/20,丙辰,,2020,9,24,0,,,,
11/10/20,丁巳,,2020,9,25,0,,,,
11/11/20,戊午,,2020,9,26,0,,,,
11/12/20,己未,,2020,9,27,0,,,,
11/13/20,庚申,,2020,9,28,0,,,,
11/14/20,辛酉,,2020,9,29,0,,,,
11/15/20,壬戌,,2020,10,1,0,,,,
11/16/20,癸亥,,2020,10,2,0,,,,
11/17/20,甲子,,2020,10,3,0,,,,
11/18/20,乙丑,,2020,10,4,0,,,,
11/19/20,丙寅,,2020,10,5,0,,,,
11/20/20,丁卯,,2020,10,6,0,,,,
11/21/20,戊辰,,2020,10,7,0,shangxuan,,,
11/22/20,己巳,小雪,2020,10,8,0,Foniepan-dajiseyu,,,1
11/23/20,庚午,,2020,10,9,0,,,,
11/24/20,辛未,,2020,10,10,0,,,,
11/25/20,壬申,,2020,10,11,0,,,,
11/26/20,癸酉,,2020,10,12,0,,,,
11/27/20,甲戌,,2020,10,13,0,,,,
11/28/20,乙亥,,2020,10,14,0,,,,
11/29/20,丙子,,2020,10,15,0,sitianwang,,,1
11/30/20,丁丑,,2020,10,16,0,,,,
12/01/20,戊寅,,2020,10,17,0,,,,
12/02/20,己卯,,2020,10,18,0,,,,
12/03/20,庚辰,,2020,10,19,0,,,,
12/04/20,辛巳,,2020,10,20,0,,,,
12/05/20,壬午,,2020,10,21,0,,,,
12/06/20,癸未,,2020,10,22,0,,,,
12/07/20,甲申,大雪,2020,10,23,0,,,,
12/08/20,乙酉,,2020,10,24,0,,,,
12/09/20,丙戌,,2020,10,25,0,,,,
12/10/20,丁亥,,2020,10,26,0,,,,
12/11/20,戊子,,2020,10,27,0,beijiziweidati,,,1
12/12/20,己丑,,2020,10,28,0,,,,
12/13/20,庚寅,,2020,10,29,0,,,,
