solar,lunarYear,lunarMonth,lunarDay
01/01/19,2018,11,26
01/02/19,2018,11,27
01/03/19,2018,11,28
01/04/19,2018,11,29
01/05/19,2018,11,30
01/06/19,2018,12,01
01/07/19,2018,12,2
01/08/19,2018,12,3
01/09/19,2018,12,4
01/10/19,2018,12,5
01/11/19,2018,12,6
01/12/19,2018,12,7
01/13/19,2018,12,8
01/14/19,2018,12,9
01/15/19,2018,12,10
01/16/19,2018,12,11
01/17/19,2018,12,12
01/18/19,2018,12,13
01/19/19,2018,12,14
01/20/19,2018,12,15
01/21/19,2018,12,16
01/22/19,2018,12,17
01/23/19,2018,12,18
01/24/19,2018,12,19
01/25/19,2018,12,20
01/26/19,2018,12,21
01/27/19,2018,12,22
01/28/19,2018,12,23
01/29/19,2018,12,24
01/30/19,2018,12,25
01/31/19,2018,12,26
02/01/19,2018,12,27
02/02/19,2018,12,28
02/03/19,2018,12,29
02/04/19,2018,12,30
02/05/19,2019,1,1
02/06/19,2019,1,2
02/07/19,2019,1,3
02/08/19,2019,1,4
02/09/19,2019,1,5
02/10/19,2019,1,6
02/11/19,2019,1,7
02/12/19,2019,1,8
02/13/19,2019,1,9
02/14/19,2019,1,10
02/15/19,2019,1,11
02/16/19,2019,1,12
02/17/19,2019,1,13
02/18/19,2019,1,14
02/19/19,2019,1,15
02/20/19,2019,1,16
02/21/19,2019,1,17
02/22/19,2019,1,18
02/23/19,2019,1,19
02/24/19,2019,1,20
02/25/19,2019,1,21
02/26/19,2019,1,22
02/27/19,2019,1,23
02/28/19,2019,1,24
03/01/19,2019,1,25
03/02/19,2019,1,26
03/03/19,2019,1,27
03/04/19,2019,1,28
03/05/19,2019,1,29
03/06/19,2019,1,30
03/07/19,2019,2,1
03/08/19,2019,2,2
03/09/19,2019,2,3
03/10/19,2019,2,4
03/11/19,2019,2,5
03/12/19,2019,2,6
03/13/19,2019,2,7
03/14/19,2019,2,8
03/15/19,2019,2,9
03/16/19,2019,2,10
03/17/19,2019,2,11
03/18/19,2019,2,12
03/19/19,2019,2,13
03/20/19,2019,2,14
03/21/19,2019,2,15
03/22/19,2019,2,16
03/23/19,2019,2,17
03/24/19,2019,2,18
03/25/19,2019,2,19
03/26/19,2019,2,20
03/27/19,2019,2,21
03/28/19,2019,2,22
03/29/19,2019,2,23
03/30/19,2019,2,24
03/31/19,2019,2,25
04/01/19,2019,2,26
04/02/19,2019,2,27
04/03/19,2019,2,28
04/04/19,2019,2,29
04/05/19,2019,3,1
04/06/19,2019,3,2
04/07/19,2019,3,3
04/08/19,2019,3,4
04/09/19,2019,3,5
04/10/19,2019,3,6
04/11/19,2019,3,7
04/12/19,2019,3,8
04/13/19,2019,3,9
04/14/19,2019,3,10
04/15/19,2019,3,11
04/16/19,2019,3,12
04/17/19,2019,3,13
04/18/19,2019,3,14
04/19/19,2019,3,15
04/20/19,2019,3,16
04/21/19,2019,3,17
04/22/19,2019,3,18
04/23/19,2019,3,19
04/24/19,2019,3,20
04/25/19,2019,3,21
04/26/19,2019,3,22
04/27/19,2019,3,23
04/28/19,2019,3,24
04/29/19,2019,3,25
04/30/19,2019,3,26
05/01/19,2019,3,27
05/02/19,2019,3,28
05/03/19,2019,3,29
05/04/19,2019,3,30
05/05/19,2019,4,1
05/06/19,2019,4,2
05/07/19,2019,4,3
05/08/19,2019,4,4
05/09/19,2019,4,5
05/10/19,2019,4,6
05/11/19,2019,4,7
05/12/19,2019,4,8
05/13/19,2019,4,9
05/14/19,2019,4,10
05/15/19,2019,4,11
05/16/19,2019,4,12
05/17/19,2019,4,13
05/18/19,2019,4,14
05/19/19,2019,4,15
05/20/19,2019,4,16
05/21/19,2019,4,17
05/22/19,2019,4,18
05/23/19,2019,4,19
05/24/19,2019,4,20
05/25/19,2019,4,21
05/26/19,2019,4,22
