date,ganzhi,jieqi
01/01/20,癸卯,
01/02/20,甲辰,
01/03/20,乙巳,
01/04/20,丙午,
01/05/20,丁未,
01/06/20,戊申,小寒
01/07/20,己酉,
01/08/20,庚戌,
01/09/20,辛亥,
01/10/20,壬子,
01/11/20,癸丑,
01/12/20,甲寅,
01/13/20,乙卯,
01/14/20,丙辰,
01/15/20,丁巳,
01/16/20,戊午,
01/17/20,己未,
01/18/20,庚申,
01/19/20,辛酉,
01/20/20,壬戌,大寒
01/21/20,癸亥,
01/22/20,甲子,
01/23/20,乙丑,
01/24/20,丙寅,
01/25/20,丁卯,
01/26/20,戊辰,
01/27/20,己巳,
01/28/20,庚午,
01/29/20,辛未,
01/30/20,壬申,
01/31/20,癸酉,
02/01/20,甲戌,
02/02/20,乙亥,
02/03/20,丙子,
02/04/20,丁丑,立春
02/05/20,戊寅,
02/06/20,己卯,
02/07/20,庚辰,
02/08/20,辛巳,
02/09/20,壬午,
02/10/20,癸未,
02/11/20,甲申,
02/12/20,乙酉,
02/13/20,丙戌,
02/14/20,丁亥,
02/15/20,戊子,
02/16/20,己丑,
02/17/20,庚寅,
02/18/20,辛卯,
02/19/20,壬辰,雨水
02/20/20,癸巳,
02/21/20,甲午,
02/22/20,乙未,
02/23/20,丙申,
02/24/20,丁酉,
02/25/20,戊戌,
02/26/20,己亥,
02/27/20,庚子,
02/28/20,辛丑,
02/29/20,壬寅,
03/01/20,癸卯,
03/02/20,甲辰,
03/03/20,乙巳,
03/04/20,丙午,
03/05/20,丁未,惊蛰
03/06/20,戊申,
03/07/20,己酉,
03/08/20,庚戌,
03/09/20,辛亥,
03/10/20,壬子,
03/11/20,癸丑,
03/12/20,甲寅,
03/13/20,乙卯,
03/14/20,丙辰,
03/15/20,丁巳,
03/16/20,戊午,
03/17/20,己未,
03/18/20,庚申,
03/19/20,辛酉,
03/20/20,壬戌,春分
03/21/20,癸亥,
03/22/20,甲子,
03/23/20,乙丑,
03/24/20,丙寅,
03/25/20,丁卯,
03/26/20,戊辰,
03/27/20,己巳,
03/28/20,庚午,
03/29/20,辛未,
03/30/20,壬申,
03/31/20,癸酉,
04/01/20,甲戌,
04/02/20,乙亥,
04/03/20,丙子,
04/04/20,丁丑,清明
04/05/20,戊寅,
04/06/20,己卯,
04/07/20,庚辰,
04/08/20,辛巳,
04/09/20,壬午,
04/10/20,癸未,
04/11/20,甲申,
04/12/20,乙酉,
04/13/20,丙戌,
04/14/20,丁亥,
04/15/20,戊子,
04/16/20,己丑,
04/17/20,庚寅,
04/18/20,辛卯,
04/19/20,壬辰,谷雨
04/20/20,癸巳,
04/21/20,甲午,
04/22/20,乙未,
04/23/20,丙申,
04/24/20,丁酉,
04/25/20,戊戌,
04/26/20,己亥,
04/27/20,庚子,
04/28/20,辛丑,
04/29/20,壬寅,
04/30/20,癸卯,
