Summary,DTSTART,color
朔,0101,blue
十斋日,0101,red
斗降,0103,red
雷斋日,0106,blue
上弦日,0107,red
上弦日,0108,red
四天王巡行,0108,red
十斋日,0108,red
四天王巡行,0114,red
十斋日,0114,red
望,0115,blue
十斋日,0115,red
四天王巡行,0115,red
十斋日,0118,red
下弦日,0122,red
下弦日,0123,red
四天王巡行,0123,red
十斋日,0123,red
十斋日,0124,red
月晦,0125,red
斗降,0127,red
人神在阴,0128,red
十斋日,0128,red
四天王巡行,0129,red
十斋日,0129,red
朔,0201,blue
十斋日,0201,red
斗降,0203,red
雷斋日,0206,blue
上弦日,0207,red
上弦日,0208,red
四天王巡行,0208,red
十斋日,0208,red
四天王巡行,0214,red
十斋日,0214,red
望,0215,blue
十斋日,0215,red
四天王巡行,0215,red
十斋日,0218,red
下弦日,0222,red
下弦日,0223,red
四天王巡行,0223,red
十斋日,0223,red
十斋日,0224,red
月晦,0225,red
斗降,0227,red
人神在阴,0228,red
十斋日,0228,red
四天王巡行,0229,red
十斋日,0229,red
朔,0301,blue
十斋日,0301,red
斗降,0303,red
雷斋日,0306,blue
上弦日,0307,red
上弦日,0308,red
四天王巡行,0308,red
十斋日,0308,red
四天王巡行,0314,red
十斋日,0314,red
望,0315,blue
十斋日,0315,red
四天王巡行,0315,red
十斋日,0318,red
下弦日,0322,red
下弦日,0323,red
四天王巡行,0323,red
十斋日,0323,red
十斋日,0324,red
月晦,0325,red
斗降,0327,red
人神在阴,0328,red
十斋日,0328,red
四天王巡行,0329,red
十斋日,0329,red
朔,0401,blue
十斋日,0401,red
斗降,0403,red
雷斋日,0406,blue
上弦日,0407,red
上弦日,0408,red
四天王巡行,0408,red
十斋日,0408,red
四天王巡行,0414,red
十斋日,0414,red
望,0415,blue
十斋日,0415,red
四天王巡行,0415,red
十斋日,0418,red
下弦日,0422,red
下弦日,0423,red
四天王巡行,0423,red
十斋日,0423,red
十斋日,0424,red
月晦,0425,red
斗降,0427,red
人神在阴,0428,red
十斋日,0428,red
四天王巡行,0429,red
十斋日,0429,red
朔,0501,blue
十斋日,0501,red
斗降,0503,red
雷斋日,0506,blue
上弦日,0507,red
上弦日,0508,red
四天王巡行,0508,red
十斋日,0508,red
四天王巡行,0514,red
