Summary,DTSTART,color
司命奏事,0129,red
司命奏事,0230,red
司命奏事,0330,red
司命奏事,0430,red
司命奏事,0530,red
司命奏事,0629,red
司命奏事,0729,red
司命奏事,0830,red
司命奏事,0929,red
司命奏事,1030,red
司命奏事,1129,red
司命奏事,1230,red
四天王巡行,0230,red
四天王巡行,0330,red
四天王巡行,0430,red
四天王巡行,0530,red
四天王巡行,0830,red
四天王巡行,1030,red
四天王巡行,1230,red
毁败日,0117,red
毁败日,0218,red
毁败日,0318,red
毁败日,0418,red
毁败日,0518,red
毁败日,0617,red
毁败日,0717,red
毁败日,0818,red
毁败日,0917,red
毁败日,1018,red
毁败日,1117,red
毁败日,1218,red
月晦,0129,blue
月晦,0230,blue
月晦,0330,blue
月晦,0430,blue
月晦,0530,blue
月晦,0629,blue
月晦,0729,blue
月晦,0830,blue
月晦,0929,blue
月晦,1030,blue
月晦,1129,blue
月晦,1230,blue
十斋日,0127,red
十斋日,0230,red
十斋日,0330,red
十斋日,0430,red
十斋日,0530,red
十斋日,0627,red
十斋日,0727,red
十斋日,0830,red
十斋日,0927,red
十斋日,1030,red
十斋日,1127,red
十斋日,1230,red
彌勒菩薩聖誕,0101,red
天腊,0101,red
玉帝校禄命,0101,red
万神都会,0103,red
五虚忌,0105,red
定光古佛聖誕,0106,red
六耗忌,0106,red
上会日,0107,red
观音斋,0108,red
五殿阎罗诞,0108,red
玉皇大帝诞,0109,red
三元降,0114,blue
上元日,0115,red
三元降,0116,blue
三尸神奏事,0123,red
天地仓开日,0125,red
一殿秦广王诞,0201,red
万神都会,0202,red
福德土地正神诞,0202,red
文昌帝君诞,0203,red
东岳帝君诞,0206,red
观音斋,0207,red
釋迦牟尼佛出家,0208,red
三殿宋帝王诞,0208,red
观音斋,0209,red
惠能大師聖誕,0209,red
釋迦牟尼佛涅槃,0215,red
太上老君诞,0215,red
四殿五官王诞,0218,red
至圣先师孔子讳辰,0218,red
观音斋,0219,red
觀世音菩薩聖誕,0219,red
普賢菩薩聖誕,0221,red
二殿楚江王诞,0301,red
玄天上帝诞,0303,red
观音斋,0303,red
观音斋,0306,red
六殿卞城王诞,0308,red
牛鬼神出,0309,red
观音斋,0313,red
昊天上帝诞,0315,red
玄坛诞,0315,red
準提菩薩聖誕,0316,red
天地仓开日,0320,red
子孙娘娘诞,0320,red
七殿泰山王诞,0327,red
苍颉至圣先师诞,0328,red
八殿都市王诞,0401,red
万神善化,0404,red
文殊菩薩聖誕,0404,red
南斗、西斗、北斗同降,0407,red
万神善化,0408,red
釋迦牟尼佛聖誕,0408,red
纯阳祖师诞,0414,red
钟离祖师诞,0415,red
天地仓开日,0416,red
十殿转轮王诞,0417,red
天地仓开日,0418,red
紫微大帝诞,0418,red
观音斋,0422,red
藥王菩薩聖誕,0428,red
南极长生大帝诞,0501,red
地腊,0505,red
五帝校定人官爵,0505,red
九毒日,0505,red
九毒日,0506,red
九毒日,0507,red
南方五道诞,0508,red
天仓开日,0511,red
天下都城隍诞,0511,red
观音斋,0513,red
伽藍菩薩聖誕,0513,red
九毒日,0515,red
九毒日,0516,red
九毒日,0517,red
观音斋,0517,red
张天师诞,0518,red
孝蛾神诞,0522,red
九毒日,0525,red
九毒日,0526,red
九毒日,0527,red
護法韋馱菩薩聖誕,0603,red
南赡部洲击大法鼓,0604,red
天仓开日,0606,red
观音斋,0616,red
观音斋,0618,red
观音斋,0619,red
觀世音菩薩成道日,0619,red
观音斋,0623,red
南方火神诞,0623,red
雷祖诞,0624,red
关帝诞,0624,red
中会日,0705,red
道德腊,0707,red
五帝校生人善恶,0707,red
阴毒日,0710,red
观音斋,0713,red
大勢至菩薩聖誕,0713,red
三元降,0714,blue
佛歡喜日,0715,red
中元日,0715,red
三元降,0716,blue
西王母诞,0718,red
太岁诞,0719,red
增福财神诞,0722,red
龍樹菩薩聖誕,0724,red
地藏菩薩聖誕,0729,red
许真君诞,0801,red
北斗诞,0803,red
司命灶君诞,0803,red
雷声大帝诞,0805,red
太阴朝元（宜焚香守夜）,0815,red
天曹掠刷真君降,0816,red
观音斋,0816,red
天曹掠刷真君降,0818,red
天人兴福之辰（宜斋戒-存想吉事）,0818,red
燃燈佛聖誕,0822,red
至圣先师孔子诞,0827,red
四天会事,0828,red
诸神考校,0829,red
北斗九星降世,0901,red
北斗九星降世,0902,red
北斗九星降世,0903,red
五瘟神诞,0903,red
北斗九星降世,0904,red
北斗九星降世,0905,red
北斗九星降世,0906,red
北斗九星降世,0907,red
北斗九星降世,0908,red
北斗九星降世,0909,red
斗母诞,0909,red
鄷都大帝诞,0909,red
斗母降,0910,red
宜戒,0911,red
金龙四大王诞,0917,red
日宫月宫会合,0919,red
观音斋,0919,red
觀世音菩薩出家,0919,red
观音斋,0923,red
藥師琉璃光佛聖誕,0929,red
民岁腊,1001,red
四天王降,1001,red
观音斋,1002,red
三茅降,1003,red
下会日,1005,red
達摩大師聖誕,1005,red
天曹考察,1006,red
四天王降,1010,red
宜戒,1011,red
三元降,1014,blue
下元水府校籍,1015,red
下元日,1015,red
三元降,1016,blue
至圣先师孔子诞,1104,red
天仓开日,1111,red
阿彌陀佛聖誕,1117,red
观音斋,1119,red
太阳日宫诞,1119,red
张仙诞,1123,red
观音斋,1124,red
掠刷大夫降,1125,red
天地仓开日,1206,red
掠刷大夫降,1207,red
王侯腊,1208,red
