summary,lunarMonth,lunarDay
一殿秦广王诞,2,1
万神都会,2,2
福德土地正神诞,2,2
文昌帝君诞,2,3
东岳帝君诞,2,6
观音斋,2,7
釋迦牟尼佛出家,2,8
三殿宋帝王诞,2,8
观音斋,2,9
惠能大師聖誕,2,9
釋迦牟尼佛涅槃,2,15
太上老君诞,2,15
四殿五官王诞,2,18
至圣先师孔子讳辰,2,18
观音斋,2,19
觀世音菩薩聖誕,2,19
普賢菩薩聖誕,2,21
二殿楚江王诞,3,1
玄天上帝诞,3,3
观音斋,3,3
观音斋,3,6
六殿卞城王诞,3,8
牛鬼神出,3,9
观音斋,3,13
昊天上帝诞,3,15
玄坛诞,3,15
準提菩薩聖誕,3,16
天地仓开日,3,20
子孙娘娘诞,3,20
七殿泰山王诞,3,27
苍颉至圣先师诞,3,28
八殿都市王诞,4,1
万神善化,4,4
文殊菩薩聖誕,4,4
南斗、西斗、北斗同降,4,7
万神善化,4,8
釋迦牟尼佛聖誕,4,8
纯阳祖师诞,4,14
钟离祖师诞,4,15
天地仓开日,4,16
十殿转轮王诞,4,17
天地仓开日,4,18
紫微大帝诞,4,18
观音斋,4,22
藥王菩薩聖誕,4,28
南极长生大帝诞,5,1
五月宜全戒,5,1
地腊,5,5
五帝校定人官爵,5,5
九毒日,5,5
九毒日,5,6
九毒日,5,7
南方五道诞,5,8
天仓开日,5,11
天下都城隍诞,5,11
观音斋,5,13
伽藍菩薩聖誕,5,13
九毒日,5,15
九毒日,5,16
九毒日,5,17
观音斋,5,17
张天师诞,5,18
孝蛾神诞,5,22
九毒日,5,25
九毒日,5,26
九毒日,5,27
護法韋馱菩薩聖誕,6,3
南赡部洲击大法鼓,6,4
天仓开日,6,6
观音斋,6,16
观音斋,6,18
观音斋,6,19
觀世音菩薩成道日,6,19
观音斋,6,23
南方火神诞,6,23
雷祖诞,6,24
关帝诞,6,24
中会日,7,5
道德腊,7,7
五帝校生人善恶,7,7
阴毒日,7,10
观音斋,7,13
大勢至菩薩聖誕,7,13
三元降,7,14
佛歡喜日,7,15
中元日,7,15
三元降,7,16
西王母诞,7,18
太岁诞,7,19
增福财神诞,7,22
龍樹菩薩聖誕,7,24
地藏菩薩聖誕,7,29
许真君诞,8,1
北斗诞,8,3
司命灶君诞,8,3
雷声大帝诞,8,5
太阴朝元（宜焚香守夜）,8,15
天曹掠刷真君降,8,16
观音斋,8,16
天人兴福之辰（宜斋戒-存想吉事）,8,18
燃燈佛聖誕,8,22
至圣先师孔子诞,8,27
四天会事,8,28
诸神考校,8,30
北斗九星降世,9,1
北斗九星降世,9,2
北斗九星降世,9,3
五瘟神诞,9,3
北斗九星降世,9,4
北斗九星降世,9,5
北斗九星降世,9,6
北斗九星降世,9,7
北斗九星降世,9,8
北斗九星降世,9,9
