Summary,DTSTART,color
宜从惊蛰戒过一月,03/06/2019,red
五月宜全戒,06/03/2019,red
宜从芒种戒过一月,06/06/2019,red
"阴阳相争,死生分判,切戒",06/22/2019,red
宜从白露戒过一月,09/08/2019,red
宜从大雪戒过一月,12/07/2019,red
"阴阳相争,死生分判,切戒",12/22/2019,red
宜从惊蛰戒过一月,03/06/2020,red
五月宜全戒,06/03/2020,red
宜从芒种戒过一月,06/06/2020,red
"阴阳相争,死生分判,切戒",06/22/2020,red
宜从白露戒过一月,09/08/2020,red
宜从大雪戒过一月,12/07/2020,red
"阴阳相争,死生分判,切戒",12/22/2020,red
四绝日,02/03/2019,red
四离日,03/20/2019,red
春社日,03/22/2019,red
四绝日,05/05/2019,red
四离日,06/21/2019,red
四绝日,08/07/2019,red
四离日,09/22/2019,red
秋社日,09/18/2019,red
四绝日,11/07/2019,red
四离日,12/21/2019,red
辛日,01/04/2019,red
丙日,01/09/2019,blue
丁日,01/10/2019,blue
丙日,01/19/2019,blue
丁日,01/20/2019,blue
庚申日,01/23/2019,red
辛日,01/24/2019,red
冬至后第三戌日,01/25/2019,red
甲子日,01/27/2019,red
丙日,01/29/2019,blue
丁日,01/30/2019,blue
辛日,02/03/2019,red
丙日,02/08/2019,blue
丁日,02/09/2019,blue
辛日,02/13/2019,red
丙日,02/18/2019,blue
丁日,02/19/2019,blue
辛日,02/23/2019,red
丙日,02/28/2019,blue
丁日,03/01/2019,blue
辛日,03/05/2019,red
丙日,03/10/2019,blue
丁日,03/11/2019,blue
辛日,03/15/2019,red
丙日,03/20/2019,blue
丁日,03/21/2019,blue
庚申日,03/24/2019,red
辛日,03/25/2019,red
甲子日,03/28/2019,red
丙日,03/30/2019,blue
丁日,03/31/2019,blue
辛日,04/04/2019,red
丙日,04/09/2019,blue
丁日,04/10/2019,blue
辛日,04/14/2019,red
丙日,04/19/2019,blue
丁日,04/20/2019,blue
辛日,04/24/2019,red
丙日,04/29/2019,blue
丁日,04/30/2019,blue
辛日,05/04/2019,red
丙日,05/09/2019,blue
丁日,05/10/2019,blue
辛日,05/14/2019,red
丙日,05/19/2019,blue
丁日,05/20/2019,blue
庚申日,05/23/2019,red
辛日,05/24/2019,red
甲子日,05/27/2019,red
丙日,05/29/2019,blue
丁日,05/30/2019,blue
辛日,06/03/2019,red
丙日,06/08/2019,blue
丁日,06/09/2019,blue
辛日,06/13/2019,red
丙日,06/18/2019,blue
丁日,06/19/2019,blue
丙日,06/28/2019,blue
丁日,06/29/2019,blue
辛日,07/03/2019,red
丙日,07/08/2019,blue
丁日,07/09/2019,blue
辛日,07/13/2019,red
